SKIP;Atlamak
NINJA;Ninja
NINJA2;Gizlice hareket et

TOTAL;Genel:
GAME_SCORE;Skor
MAIN_MENU;Ana menü


START1;Hmm? Nedir bu gürültü?
EVIDENCE1;Belli ki biri bana hediye bırakmış.
FINISH1;Biriler bunu kontrol etmemi istiyor./nFakat neden?

START_LEVEL2;"Crimeburg daily" Yayınevi./nKartoteği kontrol etmem gerekir.
EVIDENCE2;Biri bu gazeteciyi durdurmak çok istemiş!/nAcaba neden...
FINISH2;Avukatı ziyaret etme zamanı

START_LEVEL3;Ok, avukatın evi./nHerhangi bir bahanenin olması gerekir.
EVIDENCE3;İlgi çeken resim, faydalı olabilir.
FINISH3;Ev kötü bir semttedir./nBurada neyi saklıyorsun?

START4;Polisler ne zamandan beri üçkâğıtçılarla/nbirlikte çalışıyor?
EVIDENCE4;Polis amiri kaçırma olayına bulaştı./nAcayip bir gelişme!
FINISH_LEVEL4;It's time to go check in at the police station.

START_LEVEL5;Hizmet etmek ve korumak, doğru mu?
EVIDENCE5;Looks like arresting Lester gave/nthe chief's career a real shot in the arm!
FINISH5;Büyük evi ziyaret etme zamanı!

START6;Umarım Lester ev bisküvileri sever/nve ilgi çeken bir şeyler bilir.
START_LEVEL6;Ok, kolay olacağını kim söyledi?
EVIDENCE6;Şef ve Don Karmano ortak demektir!/nOlay çok enteresan boyutlar kazandı.

START7;Hadi Karmanı, git, ben ortama bakıyım.
START_LEVEL7;Burada neyi buluruz?/nBeyler, mizalarınızı belirleyin!
EVIDENCE7;İnanamıyorum! Belediye Başkanımız/nakşamları arkadaşlık ortamında/npoker oynamayı severmiş!

START8;Belediye Başkanının zevki çok iyi!/nNeden böyle büyük binada saklanıyor? 
EVIDENCE8;Banka kasasının anahtarına benziyor!

START_LEVEL9;Süje hız kazanmaktadır!/nAcele etmem gerekiyor!
EVIDENCE9;Tamam, tamam! On hapis cezası/niçin delilimiz var! Çıkma zamanı!
FINISH9;Noel Baba Bölge Savcısı için erkenden/nChristmas hediyesini getirmiş galiba.
FINISH9_2;Hakkettiklerini aldılar./nŞehirde suçluluğa son geldi.
FINISH9_3;Bütün bunların büyük bir şeyin başlangıcı/nolduğunu neden hissediyorum ki?

COMICS1;Bob çocukluktan beri kaderini biliyordu.
COMICS2;Gerekli yetenekleri senelerce geliştiriyordu.
COMICS3;Israrla antrenman yapıyordu.
COMICS4;Nihayet değerli gayeyi buldu...
COMICS5;...kendi mücadelesi için
